Admin2,medianage,hcoutcome,hcfactors, household ,averagesalary,insurance,unemployment,uninsured
Alachua,32.1,-0.4,-0.703775201,2.54,   53283,0.868,0.045,0.132
Baker,37.2,0.54,0.17,2.92,   36319,0.788,0.044,0.212
Bay,41.8,0.31,0.1,2.57,   45970,0.84,0.043,0.16
Bradford,39.8,1.2,0.38,2.6,   39770,0.788,0.047,0.212
Brevard,47.7,-0.18,-0.42,2.49,   55557,0.847,0.044,0.153
Broward,40.8,-0.73,-0.5,2.77,   58998,0.823,0.051,0.177
Calhoun,42,0.75,0.51,2.73,   35214,0.818,0.055,0.182
Charlotte,60.1,-0.33,-0.52,2.28,   43322,0.881,0.051,0.119
Citrus,57.1,0.8,0.16,2.24,   40339,0.879,0.065,0.121
Clay,40,-0.38,-0.42,2.81,   43217,0.864,0.041,0.136
Collier,52.1,-1.61,-0.67,2.55,   54655,0.84,0.044,0.16
Columbia,40.5,1.08,0.4,2.57,   41126,0.832,0.049,0.168
DeSoto,41.2,0.06,0.49,2.74,   40600,0.831,0.048,0.169
Dixie,46.2,1.14,0.79,2.28,   36335,0.686,0.051,0.314
Duval,36.6,0.36,-0.08,2.55,   58705,0.807,0.049,0.193
Escambia,37.5,0.44,-0.13,2.47,   48924,0.858,0.051,0.142
Flagler,52.6,-0.53,-0.4,2.62,   38631,0.8,0.053,0.2
Franklin,46.3,-0.1,0.38,2.35,   34851,0.881,0.044,0.119
Gadsden,41.8,1.21,0.95,2.47,   38378,0.784,0.059,0.216
Gilchrist,42.5,0.16,0.21,2.5,   41748,0.75,0.045,0.25
Glades,47.7,0.14,0.49,2.71,   46561,0.791,0.052,0.209
Gulf,49.8,-0.19,0.08,2.55,   42511,0.815,0.041,0.185
Hamilton,40.2,0.85,0.79,2.44,   50845,0.784,0.064,0.216
Hardee,36.1,-0.43,0.84,3.22,   37808,0.806,0.069,0.194
Hendry,35.1,0.2,0.93,2.17,   42716,0.7,0.076,0.3
Hernando,48.7,0.02,-0.08,2.46,   40930,0.694,0.057,0.306
Highlands,54.4,0.36,0.32,2.44,   37913,0.826,0.068,0.174
Hillsborough,37.6,-0.5,-0.35,2.63,   60962,0.834,0.047,0.166
Holmes,42.5,0.5,0.4,2.51,   33734,0.845,0.051,0.155
Indian River,54.6,-0.65,-0.46,2.6,   47103,0.81,0.054,0.19
Jackson,42.4,0.55,0.6,2.4,   38801,0.833,0.054,0.167
Jefferson,48.4,0.75,0.35,2.04,   35796,0.833,0.049,0.167
Lafayette,39.8,0.09,0.2,3.43,   35757,0.855,0.051,0.145
Lake,47.4,-0.44,-0.42,2.55,   42002,0.79,0.052,0.21
Lee,49.3,-0.6,-0.46,2.61,49752,0.852,0.048,0.148
Leon,31.5,-0.8,-0.38,2.43,49815,0.875,0.05,0.125
Levy,47.7,0.86,0.58,2.41,35583,0.901,0.052,0.099
Liberty,39.5,-0.25,0.36,2.9,40285,0.8,0.048,0.2
Madison,43.5,1.13,0.5,2.45,35212,0.832,0.057,0.168
Manatee,49.3,-0.64,-0.45,2.57,48068,0.84,0.046,0.16
Marion,48.9,0.68,0.14,2.48,42359,0.863,0.055,0.137
Martin,53.1,-1.13,-0.71,2.41,46999,0.849,0.041,0.151
Miami-Dade,40.4,-0.96,-0.09,2.83,60859,0.847,0.065,0.153
Monroe,48.4,-0.83,-0.54,2.39,47326,0.791,0.031,0.209
Nassau,45.9,-0.15,-0.54,2.55,45078,0.846,0.04,0.154
Okaloosa,37.2,-0.73,-0.47,2.52,52297,0.828,0.039,0.172
Okeechobee,41.5,0.58,0.62,2.73,40580,0.765,0.052,0.235
Orange,35.7,-0.88,-0.41,2.81,56650,0.808,0.053,0.192
Osceola,36.6,-0.52,-0.1,3.4,41431,0.813,0.063,0.187
Palm Beach,45.2,-0.75,-0.62,2.6,61745,0.855,0.048,0.145
Pasco,44.4,-0.07,-0.24,2.52,44166,0.863,0.05,0.137
Pinellas,48.8,-0.45,-0.53,2.31,54681,0.868,0.044,0.132
Polk,40.2,-0.07,0.17,2.84,46745,0.817,0.06,0.183
Putnam,45.6,1.86,0.95,2.52,43328,0.812,0.068,0.188
Santa Rosa,44.1,-1.65,-1.17,2.68,41551,0.871,0.042,0.129
Sarasota,45.8,-0.32,-0.11,2.25,51166,0.816,0.044,0.184
Seminole,39.9,-0.67,-0.5,2.7,53823,0.857,0.045,0.143
St. Johns,57.1,-1.13,-0.77,2.7,48972,0.885,0.036,0.115
St. Lucie,39.4,-1.17,-0.85,2.68,44969,0.849,0.054,0.151
Sumter,68.1,-0.45,-0.32,2.04,45753,0.905,0.065,0.095
Suwannee,43.2,0.7,0.46,2.81,37747,0.81,0.051,0.19
Taylor,42.1,0.99,0.47,2.47,41744,0.811,0.052,0.189
Union,39.7,1.99,0.38,2.5,39849,0.841,0.045,0.159
Volusia,47.1,0.11,-0.24,2.43,44445,0.849,0.051,0.151
Wakulla,40.9,-0.47,-0.17,2.56,42457,0.839,0.04,0.161
Walton,44.3,-0.48,-0.02,2.42,43902,0.784,0.041,0.216
Washington,40.8,0.55,0.59,2.57,38028,0.809,0.051,0.191
