Admin2,outcome,factors
Alachua,-0.40,-0.703775201
Baker,0.54,0.17
Bay,0.31,0.10
Bradford,1.20,0.38
Brevard,-0.18,-0.42
Broward,-0.73,-0.50
Calhoun,0.75,0.51
Charlotte,-0.33,-0.52
Citrus,0.80,0.16
Clay,-0.38,-0.42
Collier,-1.61,-0.67
Columbia,1.08,0.40
DeSoto,0.06,0.49
Dixie,1.14,0.79
Duval,0.36,-0.08
Escambia,0.44,-0.13
Flagler,-0.53,-0.40
Franklin,-0.10,0.38
Gadsden,1.21,0.95
Gilchrist,0.16,0.21
Glades,0.14,0.49
Gulf,-0.19,0.08
Hamilton,0.85,0.79
Hardee,-0.43,0.84
Hendry,0.20,0.93
Hernando,0.02,-0.08
Highlands,0.36,0.32
Hillsborough,-0.50,-0.35
Holmes,0.50,0.40
Indian River,-0.65,-0.46
Jackson,0.55,0.60
Jefferson,0.75,0.35
Lafayette,0.09,0.20
Lake,-0.44,-0.42
Lee,-0.60,-0.46
Leon,-0.80,-0.38
Levy,0.86,0.58
Liberty,-0.25,0.36
Madison,1.13,0.50
Manatee,-0.64,-0.45
Marion,0.68,0.14
Martin,-1.13,-0.71
Miami-Dade,-0.96,-0.09
Monroe,-0.83,-0.54
Nassau,-0.15,-0.54
Okaloosa,-0.73,-0.47
Okeechobee,0.58,0.62
Orange,-0.88,-0.41
Osceola,-0.52,-0.10
Palm Beach,-0.75,-0.62
Pasco,-0.07,-0.24
Pinellas,-0.45,-0.53
Polk,-0.07,0.17
Putnam,1.86,0.95
Santa Rosa,-1.65,-1.17
Sarasota,-0.32,-0.11
Seminole,-0.67,-0.50
St. Johns,-1.13,-0.77
St. Lucie,-1.17,-0.85
Sumter,-0.45,-0.32
Suwannee,0.70,0.46
Taylor,0.99,0.47
Union,1.99,0.38
Volusia,0.11,-0.24
Wakulla,-0.47,-0.17
Walton,-0.48,-0.02
Washington,0.55,0.59
