Admin2, household 
Alachua, 2.54 
Baker, 2.92 
Bay, 2.57 
Bradford, 2.60 
Brevard, 2.49 
Broward, 2.77 
Calhoun, 2.73 
Charlotte, 2.28 
Citrus, 2.24 
Clay, 2.81 
Collier, 2.55 
Columbia, 2.57 
DeSoto, 2.74 
Dixie, 2.28 
Duval, 2.55 
Escambia, 2.47 
Flagler, 2.62 
Franklin, 2.35 
Gadsden, 2.47 
Gilchrist, 2.50 
Glades, 2.71 
Gulf, 2.55 
Hamilton, 2.44 
Hardee, 3.22 
Hendry, 2.17 
Hernando, 2.46 
Highlands, 2.44 
Hillsborough, 2.63 
Holmes, 2.51 
Indian River, 2.60 
Jackson, 2.40 
Jefferson, 2.04 
Lafayette, 3.43 
Lake, 2.55 
Lee, 2.61 
Leon, 2.43 
Levy, 2.41 
Liberty, 2.90 
Madison, 2.45 
Manatee, 2.57 
Marion, 2.48 
Martin, 2.41 
Miami-Dade, 2.83 
Monroe, 2.39 
Nassau, 2.55 
Okaloosa, 2.52 
Okeechobee, 2.73 
Orange, 2.81 
Osceola, 3.40 
Palm Beach, 2.60 
Pasco, 2.52 
Pinellas, 2.31 
Polk, 2.84 
Putnam, 2.52 
Santa Rosa, 2.68 
Sarasota, 2.25 
Seminole, 2.70 
St. Johns, 2.70 
St. Lucie, 2.68 
Sumter, 2.04 
Suwannee, 2.81 
Taylor, 2.47 
Union, 2.50 
Volusia, 2.43 
Wakulla, 2.56 
Walton, 2.42 
Washington, 2.57 
