County,temperature
Alachua,69
Baker,67.82
Bay,66.71
Bradford,68.33
Brevard,72.24
Broward,75
Calhoun,66.67
Charlotte,72.93
Citrus,70.19
Clay,68.28
Collier,73.95
Columbia,68
DeSoto,72.7
Dixie,68.43
Duval,68.47
Escambia,66.64
Flagler,70.35
Franklin,67.5
Gadsden,66.94
Gilchrist,68.63
Glades,72.65
Gulf,67.2
Hamilton,67.5
Hardee,72.58
Hendry,73.73
Hernando,71.65
Highlands,72.53
Hillsborough,72.85
Holmes,65.91
Indian River,72.85
Jackson,65.82
Jefferson,67.08
Lafayette,67.66
Lake,70.9
Lee,74.06
Leon,67.14
Levy,68.87
Liberty,67.1
Madison,67.29
Manatee,72.98
Marion,69.32
Martin,73.21
Miami-Dade,75.6
Monroe,74.96
Nassau,68.12
Okaloosa,65.85
Okeechobee,72.61
Orange,71.84
Osceola,72.69
Palm Beach,74.17
Pasco,71.63
Pinellas,72.66
Polk,72.96
Putnam,69.54
Santa Rosa,66.23
Sarasota,73.08
Seminole,71.29
St. Johns,69.52
St. Lucie,73.06
Sumter,70.98
Suwannee,68.02
Taylor,67.68
Union,68.32
Volusia,70.52
Wakulla,67.2
Walton,65.88
Washington,66.37
